<pre>
 
                Tageswerte der Station 10655 W�rzburg                                               
 STAT JJJJMMDD QN     TG     TN     TM     TX    RFM     FM     FX     SO     NM     RR     PM
10655 20251129  9    2.4    3.5    5.9    8.3   99.0    2.0    5.5    0.0    7.7    0.6  981.7
10655 20251128  9    1.6    1.7    3.5    4.9   92.0    2.0    5.8    0.0    7.8    2.9  987.7
10655 20251127  9   -0.2    0.7    1.9    3.7   81.0    2.0    9.1    0.0    8.0    1.4  991.3
10655 20251126  9   -2.2    0.5    2.5    4.0   90.0    2.0    6.8    0.0    7.4    1.5  985.0
10655 20251125  9    0.7    1.5    2.9    5.3   95.0    1.0    4.1    0.1    7.7    0.0  971.9
10655 20251124  9   -0.2   -0.3    2.2    4.7   98.0    2.0    4.5    0.1    7.7    2.0  967.9
10655 20251123  9  -11.6  -10.7   -4.4    0.9   84.0    2.0    8.8    6.4    5.8    3.5  981.9
10655 20251122  9  -10.7   -8.2   -4.7   -0.3   84.0    1.0    4.7    8.0    0.5    0.0  994.5
10655 20251121  9   -7.2   -5.5   -2.6    2.5   83.0    2.0    7.3    7.8    3.0    0.0  988.7
10655 20251120  9   -6.7   -3.7    1.4    3.5   82.0    3.0   11.9    0.7    6.1    0.0  976.4
10655 20251119  9   -1.2   -0.4    2.2    5.8   76.0    3.0   10.5    0.1    7.4    0.2  976.2
10655 20251118  9   -3.9   -1.9    0.4    4.5   90.0    2.0    6.4    1.9    5.4    0.0  987.2
10655 20251117  9   -1.8    0.1    4.6    8.0   86.0    2.0    8.9    0.7    6.3    0.6  978.7
10655 20251116  9    4.3    5.5    8.3   12.3   92.0    1.0    3.8    4.1    6.4    2.1  975.9
10655 20251115  9    6.4    7.2    9.4   12.4   88.0    1.0    5.6    0.0    7.6    0.0  979.0
10655 20251114  9    3.0    4.6    7.6   10.5   91.0    1.0    5.6    0.1    7.0    0.0  979.3
10655 20251113  9    1.2    1.6    6.9   15.1   89.0    1.0    4.0    3.7    7.3    0.0  983.6
10655 20251112  9    0.7    1.6    5.8   10.6   93.0    1.0    5.5    4.4    6.8    0.0  984.9
10655 20251111  9    2.4    4.3    8.4   13.2   85.0    2.0    7.4    3.9    7.7    0.0  984.7
10655 20251110  9    3.9    4.9    8.0   11.8   94.0    2.0    4.4    1.0    7.2    0.0  984.1
10655 20251109  9    5.2    5.1    7.0    8.8   97.0    1.0    4.2    0.0    7.8    2.1  985.5
10655 20251108  9    3.1    2.6    4.1    5.5   92.0    2.0    4.9    0.0    8.0    1.6  983.2
10655 20251107  9    3.6    3.1    4.0    5.1   93.0    2.0    4.7    0.0    8.0    0.0  981.3
10655 20251106  9   -0.7    0.9    4.4    5.5   96.0    2.0    6.3    0.0    6.1    0.0  982.3
10655 20251105  9    0.6    1.3    6.4   12.2   90.0    1.0    4.6    4.5    6.0    0.0  988.5
10655 20251104  9    2.0    4.9    9.8   15.2   79.0    2.0    7.8    8.5    7.3    0.0  991.8
10655 20251103  9    2.9    5.0    8.3   12.1   85.0    3.0   10.8    3.3    6.4    0.0  989.9
10655 20251102  9    6.5    7.7   10.5   13.8   92.0    2.0    9.3    0.2    7.7    4.2  982.2
10655 20251101  9    2.8    3.6    8.7   12.1   95.0    1.0    7.5    0.0    6.8    1.8  982.4
10655 20251031  9   -0.7    1.1    6.8   12.9   87.0    1.0    4.5    5.5    7.4    0.0  984.3
10655 20251030  9    1.9    3.4   10.1   13.5   74.0    4.0   16.4    7.9    5.8    0.4  978.4
10655 20251029  9    6.9    7.8   11.4   15.8   80.0    3.0    8.0    2.8    7.7    1.4  977.0
10655 20251028  9    4.4    6.2    9.6   12.7   82.0    4.0   18.2    0.4    7.4    0.6  978.9
10655 20251027  9    4.6    5.2    7.6   11.2   83.0    5.0   18.1    2.8    6.7    1.5  971.6
10655 20251026  9    3.4    5.2    7.1   10.0   72.0    4.0   19.4    4.4    5.6    4.2  974.3
10655 20251025  9    5.7    6.8    8.8   11.7   81.0    4.0   16.5    2.1    6.7    2.2  971.3
10655 20251024  9    4.4    4.9    7.7   10.3   75.0    4.0   18.9    2.1    6.9    2.6  972.4
10655 20251023  9    7.3    8.0   12.3   14.5   84.0    4.0   20.9    1.1    7.7   17.0  961.1
10655 20251022  9   10.4   10.5   12.8   15.9   93.0    2.0    9.0    0.8    7.8   11.6  969.4
10655 20251021  9    8.5    9.6   12.3   16.6   87.0    3.0   14.8    4.5    6.7    0.9  969.6
10655 20251020  9    6.4    7.1   10.2   13.7   89.0    2.0    7.0    0.0    7.6    3.8  974.0
10655 20251019  9    1.7    3.1    6.8   10.2   78.0    2.0    7.2    0.1    8.0    0.0  985.9
10655 20251018  9    1.7    3.6    9.0   13.9   73.0    2.0    9.1    4.3    6.8    0.0  993.5
10655 20251017  9    7.9    8.6   10.8   13.5   84.0    1.0    4.2    0.0    7.9    0.0  991.1
10655 20251016  9    3.9    4.6    8.7   12.0   93.0    1.0    4.2    0.1    7.2    0.6  991.9
10655 20251015  9    3.8    6.0   11.0   16.3   83.0    1.0    5.8    2.6    5.5    0.0  993.3
10655 20251014  9    5.1    6.1   10.0   15.5   87.0    1.0    5.7    3.5    6.2    0.1  993.3
10655 20251013  9    6.4    8.9   11.7   15.1   86.0    1.0    4.3    0.0    7.6    0.1  994.5
10655 20251012  9    8.4    9.9   11.8   13.3   78.0    1.0    4.9    0.0    7.8    0.0  997.4
10655 20251011  9   10.6   10.9   13.2   15.9   84.0    1.0    4.1    0.0    8.0    0.0 1000.7
10655 20251010  9    5.7    7.8   11.4   13.7   85.0    2.0    5.4    0.0    7.5    0.0  999.7
10655 20251009  9    8.4   10.0   13.4   17.6   81.0    2.0    5.6    2.2    7.0    0.0  992.7
10655 20251008  9   11.1   11.2   13.8   17.4   83.0    2.0    5.6    2.4    8.0    0.3  990.5
10655 20251007  9   10.7   10.8   12.6   16.8   88.0    2.0    6.4    1.5    7.7    0.0  993.8
10655 20251006  9    7.7    8.7   10.3   11.4   84.0    3.0   10.4    0.0    7.7    0.1  990.9
10655 20251005  9    7.1    8.2   10.1   13.8   79.0    4.0   14.7    3.7    7.2    1.7  981.6
10655 20251004  9    6.0    7.3   10.4   17.5   84.0    4.0   18.7    0.2    6.3    7.6  975.5
10655 20251003  9   -0.3    1.0    8.3   15.6   73.0    2.0    9.8    8.2    4.8    1.6  990.4
10655 20251002  9    0.9    3.3    8.3   14.9   78.0    2.0    6.7   10.3    1.1    0.0  996.9
10655 20251001  9    2.7    4.3    9.5   14.8   73.0    2.0    8.1    9.3    2.5    0.0  996.8
10655 20250930  9    6.4    7.7   11.6   15.3   86.0    2.0    8.3    2.1    7.6    0.0  991.5
10655 20250929  9    8.8    9.2   11.7   15.4   92.0    1.0    3.2    0.5    7.7    0.2  989.9
10655 20250928  9    8.4    9.5   12.4   16.4   89.0    2.0    5.5    4.4    6.3    0.0  990.3
10655 20250927  9   10.9   11.5   12.4   14.6   95.0    1.0    3.8    0.1    7.7    0.5  989.5
10655 20250926  9    9.1    9.3   11.1   13.2   89.0    2.0    7.2    0.0    8.0    0.6  989.0
10655 20250925  9    8.4    8.3    9.5   10.8   95.0    2.0    7.8    0.0    7.5    9.4  987.1
10655 20250924  9    8.9    9.0   10.5   11.7   79.0    2.0   10.5    0.0    7.7   18.8  987.6
10655 20250923  9    9.8    9.7   12.0   14.5   69.0    3.0   11.9    0.0    8.0    0.0  988.9
10655 20250922  9    9.4    9.5   10.7   12.0   89.0    2.0   11.6    0.0    7.8   12.9  985.9
10655 20250921  9   11.5   11.4   16.9   23.2   79.0    2.0    8.5    1.9    7.7   10.2  983.0
10655 20250920  9    9.9   11.3   20.7   31.2   64.0    2.0   11.6   10.2    3.0    0.0  986.6
10655 20250919  9   10.4   11.4   19.3   28.7   64.0    2.0    6.0   11.6    1.3    0.0  993.1
10655 20250918  9   10.6   11.9   18.6   25.9   64.0    2.0   10.4   11.5    1.1    0.0  992.2
10655 20250917  9    7.9    9.3   14.2   18.2   72.0    3.0   11.0    2.7    6.5    0.0  991.3
10655 20250916  9   11.0   12.1   14.8   18.3   62.0    4.0   18.7    4.9    5.5    0.0  987.5
10655 20250915  9   13.2   14.3   18.5   23.5   73.0    4.0   20.4    6.7    5.7    0.0  981.8
10655 20250914  9   11.9   11.8   15.1   19.8   79.0    2.0   10.8    6.3    7.0    4.6  984.5
10655 20250913  9   10.0   11.0   15.7   21.6   70.0    2.0   11.5    4.5    7.9    2.6  986.4
10655 20250912  9    9.8   11.3   14.9   19.7   70.0    3.0   15.9    8.5    4.7    0.0  986.4
10655 20250911  9   10.1    9.6   14.2   20.0   81.0    3.0   17.8    3.7    6.3    0.1  979.4
10655 20250910  9    9.7   10.1   12.7   17.0   95.0    1.0    3.9    1.5    6.1    3.2  979.9
10655 20250909  9   11.1   12.2   14.9   17.8   91.0    2.0    9.3    0.5    7.8    5.9  982.8
10655 20250908  9    9.1   10.9   16.2   21.6   83.0    1.0    5.6    2.8    6.1    0.9  985.2
10655 20250907  9    8.7   11.0   17.3   24.0   67.0    3.0   10.5   11.4    6.5    0.0  987.5
10655 20250906  9    9.4   10.5   15.8   22.6   76.0    2.0    8.4    7.3    5.1    0.0  992.2
10655 20250905  9   10.6   12.9   16.3   20.0   79.0    2.0    8.4    3.4    6.9    0.0  988.9
10655 20250904  9   14.2   15.1   19.5   26.8   76.0    2.0    9.6    5.8    6.6    7.6  983.0
10655 20250903  9   11.4   12.4   18.1   24.0   71.0    3.0   13.7    7.0    5.4    0.0  981.5
10655 20250902  9   11.1   12.5   17.1   21.7   74.0    2.0   11.8    4.5    5.8    0.2  980.6
